entity,original_bucket,original_sub_type,original_unresolved_reason,phase8_match_status,phase8_match_type,phase8_match_category,phase8_confidence_label,phase8_confidence_score,description_overlap_score,selected_uniprot_accession,selected_uniprot_entry_name,selected_uniprot_organism,selected_uniprot_source_tier,selected_phytozome_code,selected_phytozome_gene_id,selected_phytozome_base_gene_id,selected_sequence_length,has_sequence,candidate_count,candidate_summary,notes,phase8_quality_flag,phase8_quality_notes
adenylate isopentenyltransferase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,K3YD29,K3YD29_SETIT,SETIT,trembl,,,,,false,10,K3YD29|K3YD29_SETIT|SETIT|trembl(ov=1.00); I1GLV2|I1GLV2_BRADI|BRADI|trembl(ov=1.00); A0A0Q3IGH1|A0A0Q3IGH1_BRADI|BRADI|trembl(ov=1.00); A0A0Q3LBG6|A0A0Q3LBG6_BRADI|BRADI|trembl(ov=1.00); A0A2K2DEB2|A0A2K2DEB2_BRADI|BRADI|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
adenylate kinase,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,Q10S93,KAD1_ORYSJ,ORYSJ,sprot,,,,,false,4,Q10S93|KAD1_ORYSJ|ORYSJ|sprot(ov=1.00); Q6ZC69|KAD2_ORYSJ|ORYSJ|sprot(ov=1.00); Q0J6P7|KAD5_ORYSJ|ORYSJ|sprot(ov=1.00); Q7XR47|KAD6_ORYSJ|ORYSJ|sprot(ov=1.00),"strong description match, single organism",ok,
adenylate-forming enzyme,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0AA38ZKA1,A0AA38ZKA1_VITRO,VITRO,trembl,,,,,false,4,A0AA38ZKA1|A0AA38ZKA1_VITRO|VITRO|trembl(ov=1.00); A0A5A7UGJ4|A0A5A7UGJ4_CUCME|CUCME|trembl(ov=1.00); A0A834L4X7|A0A834L4X7_RHOSS|RHOSS|trembl(ov=1.00); A0A834FXS1|A0A834FXS1_RHOSS|RHOSS|trembl(ov=1.00),"strong description match, 3 organisms (ambiguous)",ok,
adenylyl cyclase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,A0A0D3CHJ4,A0A0D3CHJ4_BRAOL,BRAOL,trembl,,,,,false,8,A0A0D3CHJ4|A0A0D3CHJ4_BRAOL|BRAOL|trembl(ov=1.00); A0A3Q7H945|A0A3Q7H945_SOLLC|SOLLC|trembl(ov=1.00); O65902|ACAP1_ARATH|ARATH|sprot(ov=1.00); G7JAK9|G7JAK9_MEDTR|MEDTR|trembl(ov=1.00); A0A1P8B7W9|A0A1P8B7W9_ARATH|ARATH|trembl(ov=1.00),"strong description match, 5 organisms (ambiguous)",ok,
adenylylphosphosulfate reductase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,F4HX50,F4HX50_ARATH,ARATH,trembl,,,,,false,2,F4HX50|F4HX50_ARATH|ARATH|trembl(ov=1.00); A0A2U5Q5U0|A0A2U5Q5U0_9CHLO|9CHLO|trembl(ov=1.00),"strong description match, 2 organisms (ambiguous)",ok,
ADP glucose pyrophosphorylase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,F4IFA4,F4IFA4_ARATH,ARATH,trembl,,,,,false,7,F4IFA4|F4IFA4_ARATH|ARATH|trembl(ov=1.00); A0A1P8AZM7|A0A1P8AZM7_ARATH|ARATH|trembl(ov=1.00); F4HXD1|F4HXD1_ARATH|ARATH|trembl(ov=1.00); A0A1P8ATP5|A0A1P8ATP5_ARATH|ARATH|trembl(ov=1.00); S4SKA9|S4SKA9_ACTCH|ACTCH|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
ADP-Glc pyrophosphorylase,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,F4I8U2,APS2L_ARATH,ARATH,sprot,,,,,false,1,F4I8U2|APS2L_ARATH|ARATH|sprot(ov=1.00),"strong description match, single organism",ok,
ADP-glucose pyrophosphorylase,D,descriptive_name,needs_description_matching,matched,description,description_multi_species_ambiguous,low,45,1.0,F4IFA4,F4IFA4_ARATH,ARATH,trembl,,,,,false,7,F4IFA4|F4IFA4_ARATH|ARATH|trembl(ov=1.00); A0A1P8AZM7|A0A1P8AZM7_ARATH|ARATH|trembl(ov=1.00); F4HXD1|F4HXD1_ARATH|ARATH|trembl(ov=1.00); A0A1P8ATP5|A0A1P8ATP5_ARATH|ARATH|trembl(ov=1.00); S4SKA9|S4SKA9_ACTCH|ACTCH|trembl(ov=1.00),"strong description match, 4 organisms (ambiguous)",ok,
ADP-glucose transporter,D,descriptive_name,needs_description_matching,matched,description,description_single_species_match,medium,60,1.0,A0A3G9EF67,A0A3G9EF67_HORVV,HORVV,trembl,,,,,false,2,A0A3G9EF67|A0A3G9EF67_HORVV|HORVV|trembl(ov=1.00); M1RCU6|M1RCU6_HORVV|HORVV|trembl(ov=1.00),"strong description match, single organism",generic_description_warning,generic_description_warning
ADP-glucose transporter-encoding gene,D,descriptive_name,needs_description_matching,matched,description,description_partial_match,low,40,0.75,A0A3G9EF67,A0A3G9EF67_HORVV,HORVV,trembl,,,,,false,2,A0A3G9EF67|A0A3G9EF67_HORVV|HORVV|trembl(ov=0.75); M1RCU6|M1RCU6_HORVV|HORVV|trembl(ov=0.75),partial description match (coverage),generic_description_warning,generic_description_warning
